county,month,employment_rate,avg_income,unemployment_rate
Limerick,2024-07-01,0.735,43200.0,0.265
Limerick,2024-08-01,0.735,43200.0,0.265
Limerick,2024-09-01,0.735,43200.0,0.265
Limerick,2024-10-01,0.735,43200.0,0.265
Limerick,2024-11-01,0.735,43200.0,0.265
Limerick,2024-12-01,0.735,43200.0,0.265
Longford,2024-01-01,0.6405,33480.0,0.3595
Longford,2024-02-01,0.6405,33480.0,0.3595
Longford,2024-03-01,0.6405,33480.0,0.3595
Longford,2024-04-01,0.6405,33480.0,0.3595
Longford,2024-05-01,0.6405,33480.0,0.3595
Longford,2024-06-01,0.6405,33480.0,0.3595
Longford,2024-07-01,0.6405,33480.0,0.3595
Longford,2024-08-01,0.6405,33480.0,0.3595
Longford,2024-09-01,0.6405,33480.0,0.3595
Longford,2024-10-01,0.6405,33480.0,0.3595
Longford,2024-11-01,0.6405,33480.0,0.3595
Longford,2024-12-01,0.6405,33480.0,0.3595
Louth,2024-01-01,0.7245,42120.0,0.2755
Louth,2024-02-01,0.7245,42120.0,0.2755
Louth,2024-03-01,0.7245,42120.0,0.2755
Louth,2024-04-01,0.7245,42120.0,0.2755
Louth,2024-05-01,0.7245,42120.0,0.2755
Louth,2024-06-01,0.7245,42120.0,0.2755
Louth,2024-07-01,0.7245,42120.0,0.2755
Louth,2024-08-01,0.7245,42120.0,0.2755
Louth,2024-09-01,0.7245,42120.0,0.2755
Louth,2024-10-01,0.7245,42120.0,0.2755
Louth,2024-11-01,0.7245,42120.0,0.2755
Louth,2024-12-01,0.7245,42120.0,0.2755
Mayo,2024-01-01,0.651,34560.0,0.349
Mayo,2024-02-01,0.651,34560.0,0.349
Mayo,2024-03-01,0.651,34560.0,0.349
Mayo,2024-04-01,0.651,34560.0,0.349
Mayo,2024-05-01,0.651,34560.0,0.349
Mayo,2024-06-01,0.651,34560.0,0.349
Mayo,2024-07-01,0.651,34560.0,0.349
Mayo,2024-08-01,0.651,34560.0,0.349
Mayo,2024-09-01,0.651,34560.0,0.349
Mayo,2024-10-01,0.651,34560.0,0.349
Mayo,2024-11-01,0.651,34560.0,0.349
Mayo,2024-12-01,0.651,34560.0,0.349
Meath,2024-01-01,0.7665,49680.0,0.2335
Meath,2024-02-01,0.7665,49680.0,0.2335
Meath,2024-03-01,0.7665,49680.0,0.2335
Meath,2024-04-01,0.7665,49680.0,0.2335
Meath,2024-05-01,0.7665,49680.0,0.2335
Meath,2024-06-01,0.7665,49680.0,0.2335
Meath,2024-07-01,0.7665,49680.0,0.2335
Meath,2024-08-01,0.7665,49680.0,0.2335
Meath,2024-09-01,0.7665,49680.0,0.2335
Meath,2024-10-01,0.7665,49680.0,0.2335
Meath,2024-11-01,0.7665,49680.0,0.2335
Meath,2024-12-01,0.7665,49680.0,0.2335
Monaghan,2024-01-01,0.651,34560.0,0.349
Monaghan,2024-02-01,0.651,34560.0,0.349
Monaghan,2024-03-01,0.651,34560.0,0.349
Monaghan,2024-04-01,0.651,34560.0,0.349
Monaghan,2024-05-01,0.651,34560.0,0.349
Monaghan,2024-06-01,0.651,34560.0,0.349
Monaghan,2024-07-01,0.651,34560.0,0.349
Monaghan,2024-08-01,0.651,34560.0,0.349
Monaghan,2024-09-01,0.651,34560.0,0.349
Monaghan,2024-10-01,0.651,34560.0,0.349
Monaghan,2024-11-01,0.651,34560.0,0.349
Monaghan,2024-12-01,0.651,34560.0,0.349
Offaly,2024-01-01,0.6615,35640.0,0.3385
Offaly,2024-02-01,0.6615,35640.0,0.3385
Offaly,2024-03-01,0.6615,35640.0,0.3385
Offaly,2024-04-01,0.6615,35640.0,0.3385
Offaly,2024-05-01,0.6615,35640.0,0.3385
Offaly,2024-06-01,0.6615,35640.0,0.3385
Offaly,2024-07-01,0.6615,35640.0,0.3385
Offaly,2024-08-01,0.6615,35640.0,0.3385
Offaly,2024-09-01,0.6615,35640.0,0.3385
Offaly,2024-10-01,0.6615,35640.0,0.3385
Offaly,2024-11-01,0.6615,35640.0,0.3385
Offaly,2024-12-01,0.6615,35640.0,0.3385
Roscommon,2024-01-01,0.651,34560.0,0.349
Roscommon,2024-02-01,0.651,34560.0,0.349
Roscommon,2024-03-01,0.651,34560.0,0.349
Roscommon,2024-04-01,0.651,34560.0,0.349
Roscommon,2024-05-01,0.651,34560.0,0.349
Roscommon,2024-06-01,0.651,34560.0,0.349
Roscommon,2024-07-01,0.651,34560.0,0.349
Roscommon,2024-08-01,0.651,34560.0,0.349
Roscommon,2024-09-01,0.651,34560.0,0.349
Roscommon,2024-10-01,0.651,34560.0,0.349
Roscommon,2024-11-01,0.651,34560.0,0.349
Roscommon,2024-12-01,0.651,34560.0,0.349
Sligo,2024-01-01,0.6615,35640.0,0.3385
Sligo,2024-02-01,0.6615,35640.0,0.3385
Sligo,2024-03-01,0.6615,35640.0,0.3385
Sligo,2024-04-01,0.6615,35640.0,0.3385
Sligo,2024-05-01,0.6615,35640.0,0.3385
Sligo,2024-06-01,0.6615,35640.0,0.3385
Sligo,2024-07-01,0.6615,35640.0,0.3385
Sligo,2024-08-01,0.6615,35640.0,0.3385
Sligo,2024-09-01,0.6615,35640.0,0.3385
Sligo,2024-10-01,0.6615,35640.0,0.3385
Sligo,2024-11-01,0.6615,35640.0,0.3385
Sligo,2024-12-01,0.6615,35640.0,0.3385
Tipperary,2024-01-01,0.693,37800.0,0.307
Tipperary,2024-02-01,0.693,37800.0,0.307
Tipperary,2024-03-01,0.693,37800.0,0.307
Tipperary,2024-04-01,0.693,37800.0,0.307
Tipperary,2024-05-01,0.693,37800.0,0.307
Tipperary,2024-06-01,0.693,37800.0,0.307
Tipperary,2024-07-01,0.693,37800.0,0.307
Tipperary,2024-08-01,0.693,37800.0,0.307
Tipperary,2024-09-01,0.693,37800.0,0.307
Tipperary,2024-10-01,0.693,37800.0,0.307
Tipperary,2024-11-01,0.693,37800.0,0.307
Tipperary,2024-12-01,0.693,37800.0,0.307
Waterford,2024-01-01,0.714,41040.0,0.286
Waterford,2024-02-01,0.714,41040.0,0.286
Waterford,2024-03-01,0.714,41040.0,0.286
Waterford,2024-04-01,0.714,41040.0,0.286
Waterford,2024-05-01,0.714,41040.0,0.286
Waterford,2024-06-01,0.714,41040.0,0.286
Waterford,2024-07-01,0.714,41040.0,0.286
Waterford,2024-08-01,0.714,41040.0,0.286
Waterford,2024-09-01,0.714,41040.0,0.286
Waterford,2024-10-01,0.714,41040.0,0.286
Waterford,2024-11-01,0.714,41040.0,0.286
Waterford,2024-12-01,0.714,41040.0,0.286
Westmeath,2024-01-01,0.693,37800.0,0.307
Westmeath,2024-02-01,0.693,37800.0,0.307
Westmeath,2024-03-01,0.693,37800.0,0.307
Westmeath,2024-04-01,0.693,37800.0,0.307
Westmeath,2024-05-01,0.693,37800.0,0.307
Westmeath,2024-06-01,0.693,37800.0,0.307
Westmeath,2024-07-01,0.693,37800.0,0.307
Westmeath,2024-08-01,0.693,37800.0,0.307
Westmeath,2024-09-01,0.693,37800.0,0.307
Westmeath,2024-10-01,0.693,37800.0,0.307
Westmeath,2024-11-01,0.693,37800.0,0.307
Westmeath,2024-12-01,0.693,37800.0,0.307
Wexford,2024-01-01,0.6825,37800.0,0.3175
Wexford,2024-02-01,0.6825,37800.0,0.3175
Wexford,2024-03-01,0.6825,37800.0,0.3175
Wexford,2024-04-01,0.6825,37800.0,0.3175
Wexford,2024-05-01,0.6825,37800.0,0.3175
Wexford,2024-06-01,0.6825,37800.0,0.3175
Wexford,2024-07-01,0.6825,37800.0,0.3175
Wexford,2024-08-01,0.6825,37800.0,0.3175
Wexford,2024-09-01,0.6825,37800.0,0.3175
Wexford,2024-10-01,0.6825,37800.0,0.3175
Wexford,2024-11-01,0.6825,37800.0,0.3175
Wexford,2024-12-01,0.6825,37800.0,0.3175
Wicklow,2024-01-01,0.7665,51840.0,0.2335
Wicklow,2024-02-01,0.7665,51840.0,0.2335
Wicklow,2024-03-01,0.7665,51840.0,0.2335
Wicklow,2024-04-01,0.7665,51840.0,0.2335
Wicklow,2024-05-01,0.7665,51840.0,0.2335
Wicklow,2024-06-01,0.7665,51840.0,0.2335
Wicklow,2024-07-01,0.7665,51840.0,0.2335
Wicklow,2024-08-01,0.7665,51840.0,0.2335
Wicklow,2024-09-01,0.7665,51840.0,0.2335
Wicklow,2024-10-01,0.7665,51840.0,0.2335
Wicklow,2024-11-01,0.7665,51840.0,0.2335
Wicklow,2024-12-01,0.7665,51840.0,0.2335
